trial,line,treatment,n,meanLifespanHrs,seMean,meanWeightThisTrial,fliesWeighedThisTrial,meanWeightAllTrials,fliesWeighedAllTrials,subset,flag1,flag2,stockGroup
1,Ral208,H2O2,40,44.4,1.15,0.866666667,15,0.866666667,15,,noControl,,1
1,Ral301,H2O2,40,74.95,2.79,1.012666667,15,1.096413223,55,,noControl,,1
1,Ral358,H2O2,41,55.21,1.83,0.93,15,0.93,15,,noControl,,3
1,Ral360,H2O2,40,77.45,2.32,0.958,15,1.036571429,35,,noControl,,2
1,Ral365,H2O2,40,51.1,1.92,0.836,15,0.836,15,,noControl,,3
1,Ral375,H2O2,40,77.76,2.69,1.062666667,15,1.177211628,43,,noControl,,2
1,Ral379,H2O2,39,75.08,2.76,0.893666667,15,1.010875,40,,noControl,,2
1,Ral380,H2O2,41,53.08,2.21,0.611333333,15,0.611333333,15,,noControl,,2
1,Ral399,H2O2,42,49.04,2.54,0.899,15,0.899,15,,noControl,,2
1,Ral427,H2O2,39,56.08,2.07,0.947333333,15,1.006,30,,noControl,,2
1,Ral437,H2O2,40,68.72,2.27,1.060666667,15,1.064666667,30,,noControl,,2
1,Ral555,H2O2,40,64.27,2.26,0.925333333,15,0.925333333,15,,noControl,,2
1,Ral707,H2O2,40,73.41,2.25,0.946666667,15,0.946666667,15,,noControl,,Ordered
1,Ral730,H2O2,33,101.84,2.17,0.939333333,15,1.015333333,45,,noControl,,3
1,Ral732,H2O2,40,43.81,1.36,0.920666667,15,0.905,30,,noControl,,2
1,Ral765,H2O2,40,43.82,1.13,0.892,15,0.99435,30,,noControl,,2
1,Ral774,H2O2,40,56.52,1.75,0.868666667,15,0.9698,25,,noControl,,3
1,Ral852,H2O2,40,85.06,2.78,0.994666667,15,0.974055556,45,,noControl,,3
1,Ral859,H2O2,40,83.67,2.79,1.068666667,15,1.15475,40,,noControl,,3
2,Ral040,control,10,123.84,0,0.807,15,0.807,15,purple,,,1
2,Ral040,H2O2,21,66.68,3.17,0.807,15,0.807,15,blue,,,1
2,Ral040,H2O2,22,72.05,2.9,0.807,15,0.807,15,purple,,,1
2,Ral057,control,10,123.84,0,0.752,20,0.752,20,blue,,,1
2,Ral057,H2O2,22,53.54,1.99,0.752,20,0.752,20,blue,,,1
2,Ral057,H2O2,21,50.79,1.85,0.752,20,0.752,20,purple,,,1
2,Ral153,control,10,123.84,0,1,15,1,15,blue,,,1
2,Ral153,H2O2,22,56.49,1.73,1,15,1,15,blue,,,1
2,Ral153,H2O2,21,62.85,2.65,1,15,1,15,purple,,,1
2,Ral158,control,10,123.84,0,0.931,15,0.931,15,blue,,,1
2,Ral158,H2O2,23,60.51,1.73,0.931,15,0.931,15,blue,,,1
2,Ral158,H2O2,21,60.5,2.49,0.931,15,0.931,15,purple,,,1
2,Ral181,control,10,123.84,0,0.783,15,0.803577381,40,purple,,,1
2,Ral181,H2O2,41,53.32,1.71,0.783,15,0.803577381,40,purple,,,1
2,Ral228,control,10,123.84,0,1.214,25,1.214,25,blue,,,1
2,Ral228,H2O2,22,81.25,3.47,1.214,25,1.214,25,blue,,,1
2,Ral228,H2O2,21,73.68,2.76,1.214,25,1.214,25,purple,,,1
2,Ral237,control,10,123.84,0,1.019,15,1.019,15,blue,,,1
2,Ral237,H2O2,21,74.02,2.89,1.019,15,1.019,15,blue,,,1
2,Ral237,H2O2,26,69.46,2.54,1.019,15,1.019,15,purple,,,1
2,Ral256,control,10,123.84,0,0.865,15,0.865,15,blue,,,3
2,Ral256,H2O2,22,71.26,2.2,0.865,15,0.865,15,blue,,,3
2,Ral256,H2O2,22,72.96,2.65,0.865,15,0.865,15,purple,,,3
2,Ral280,control,10,123.84,0,0.881,15,0.972822222,25,blue,,,1
2,Ral280,H2O2,43,68.55,1.4,0.881,15,0.972822222,25,blue,,,1
2,Ral306,control,10,123.84,0,1.155,25,1.155,25,blue,,,3
2,Ral306,H2O2,22,60.93,2.36,1.155,25,1.155,25,blue,,,3
2,Ral306,H2O2,25,72.51,3.24,1.155,25,1.155,25,purple,,,3
2,Ral320,control,10,123.84,0,0.846,15,0.807333333,45,blue,,,1
2,Ral320,H2O2,37,105.48,2.73,0.846,15,0.807333333,45,blue,,,1
2,Ral321,control,10,123.84,0,0.807,25,0.9204,50,blue,,,1
2,Ral321,H2O2,33,53.05,1.6,0.807,25,0.9204,50,blue,,,1
2,Ral321,H2O2,11,50.91,2.46,0.807,25,0.9204,50,purple,,,1
2,Ral332,control,10,123.84,0,0.885,20,0.885,20,purple,,,3
2,Ral332,H2O2,22,71.46,2.72,0.885,20,0.885,20,blue,,,3
2,Ral332,H2O2,25,79.34,4.08,0.885,20,0.885,20,purple,,,3
2,Ral336,control,10,123.84,0,0.841,15,0.841,15,blue,,,3
2,Ral336,H2O2,44,61.55,1.42,0.841,15,0.841,15,blue,,,3
2,Ral350,control,10,123.84,0,0.885,20,0.885,20,blue,,,3
2,Ral350,H2O2,21,55.82,2.28,0.885,20,0.885,20,blue,,,3
2,Ral350,H2O2,24,67.82,2.49,0.885,20,0.885,20,purple,,,3
2,Ral352,control,10,123.84,0,0.866,15,1.084068027,35,blue,,,3
2,Ral352,H2O2,22,56.34,1.82,0.866,15,1.084068027,35,blue,,,3
2,Ral352,H2O2,24,59.51,1.45,0.866,15,1.084068027,35,purple,,,3
2,Ral359,control,10,123.84,0,1.05,25,1.0490625,40,blue,,,3
2,Ral359,H2O2,43,55.62,1.72,1.05,25,1.0490625,40,blue,,,3
2,Ral748,control,10,123.84,0,0.899,15,0.944161905,25,blue,,,3
2,Ral748,H2O2,22,69.36,2.82,0.899,15,0.944161905,25,blue,,,3
2,Ral748,H2O2,20,69.5,2.23,0.899,15,0.944161905,25,purple,,,3
2,Ral787,control,10,114.87,8.51,1.067,15,1.067,15,purple,,,3
2,Ral787,H2O2,22,56.7,2.29,1.067,15,1.067,15,blue,,,3
2,Ral787,H2O2,20,55.75,1.88,1.067,15,1.067,15,purple,,,3
2,Ral790,control,10,123.84,0,0.843,20,0.843,20,purple,,,3
2,Ral790,H2O2,21,60.81,2.89,0.843,20,0.843,20,blue,,,3
2,Ral790,H2O2,21,61.91,2.9,0.843,20,0.843,20,purple,,,3
3,Ral303,control,10,110.12,7.6,0.9803,20,1.0011,35,,,,1
3,Ral303,H2O2,40,58.05,2.04,0.9803,20,1.0011,35,,,,1
3,Ral313,control,10,141.58,0,0.897,15,0.906453968,25,,,,1
3,Ral313,H2O2,37,100.47,2.45,0.897,15,0.906453968,25,,,,1
3,Ral315,control,10,141.58,0,1.066,15,1.066,15,,,,2
3,Ral315,H2O2,40,86.91,3.59,1.066,15,1.066,15,,,,2
3,Ral362,control,10,141.58,0,1.002,15,1.002,15,,,,2
3,Ral362,H2O2,38,103.71,2.24,1.002,15,1.002,15,,,,2
3,Ral517,control,10,141.58,0,1.067,25,1.001909091,55,,,,2
3,Ral517,H2O2,40,74.36,2.66,1.067,25,1.001909091,55,,,,2
3,Ral714,control,10,141.58,0,0.896,15,0.885,30,,,,3
3,Ral714,H2O2,39,100.52,3.14,0.896,15,0.885,30,,,,3
3,Ral742,control,10,141.58,0,1.078,15,1.142666667,15,,noSuchLine,,3
3,Ral742,H2O2,39,79.29,2.61,1.078,15,1.142666667,15,,noSuchLine,,3
3,Ral852,control,10,141.58,0,0.968,25,0.974055556,45,,,,3
3,Ral852,H2O2,40,113.28,2.5,0.968,25,0.974055556,45,,,,3
4,Ral085,control,10,80.25,5.57,0.8747,15,0.86202,25,,,,1
4,Ral085,H2O2,40,50.92,1.88,0.8747,15,0.86202,25,,,,1
4,Ral161,control,10,119.09,4.81,0.918,15,0.918,15,,,,1
4,Ral161,H2O2,40,53.2,1.97,0.918,15,0.918,15,,,,1
4,Ral176,control,10,134.35,2.65,0.8045,20,0.8045,20,,,,1
4,Ral176,H2O2,40,56.66,1.82,0.8045,20,0.8045,20,,,,1
4,Ral177,control,10,121.09,6.72,1.0187,15,1.0187,15,,,,1
4,Ral177,H2O2,39,74.07,2.35,1.0187,15,1.0187,15,,,,1
4,Ral195,control,10,120.51,10.84,0.848,25,0.848,25,,,,1
4,Ral195,H2O2,39,103.42,2.94,0.848,25,0.848,25,,,,1
4,Ral227,control,10,135.08,1.95,1.103,15,1.103,15,,,,1
4,Ral227,H2O2,40,87.17,3.11,1.103,15,1.103,15,,,,1
4,Ral229,control,10,137.13,0,0.966,20,0.966,20,,,,1
4,Ral229,H2O2,40,74.65,2.05,0.966,20,0.966,20,,,,1
4,Ral235,control,10,137.13,0,1.0555,20,1.0555,20,,,,1
4,Ral235,H2O2,39,89.6,3.07,1.0555,20,1.0555,20,,,,1
4,Ral239,control,10,130.98,2.97,0.958,20,0.958,20,,,,1
4,Ral239,H2O2,40,98.4,3.45,0.958,20,0.958,20,,,,1
4,Ral309,control,10,130.25,4.45,0.93,15,0.995,25,,,,1
4,Ral309,H2O2,40,73.07,2.64,0.93,15,0.995,25,,,,1
4,Ral317,control,10,130.98,4.15,0.8945,20,0.8945,20,,,,1
4,Ral317,H2O2,39,76.38,2.63,0.8945,20,0.8945,20,,,,1
4,Ral318,control,10,127.45,3.82,0.9827,15,0.9827,15,,,,1
4,Ral318,H2O2,40,71.4,1.88,0.9827,15,0.9827,15,,,,1
4,Ral338,control,10,127.46,4.8,0.9727,15,0.9727,15,,,,3
4,Ral338,H2O2,40,73.45,2.33,0.9727,15,0.9727,15,,,,3
4,Ral340,control,10,137.13,0,1.0103,15,1.0103,15,,,,3
4,Ral340,H2O2,40,66.29,2.34,1.0103,15,1.0103,15,,,,3
4,Ral356,control,10,110.82,7.94,0.9173,15,0.9173,15,,,,3
4,Ral356,H2O2,40,78.16,3.46,0.9173,15,0.9173,15,,,,3
4,Ral757,control,10,137.13,0,1.0715,20,1.0715,20,,,,3
4,Ral757,H2O2,38,69.02,3.6,1.0715,20,1.0715,20,,,,3
4,Ral761,control,10,137.13,0,0.7653,15,0.7653,15,,,,3
4,Ral761,H2O2,40,53.83,1.31,0.7653,15,0.7653,15,,,,3
4,Ral776,control,10,137.13,0,1.0424,25,1.0424,25,,,,3
4,Ral776,H2O2,40,76.14,2.45,1.0424,25,1.0424,25,,,,3
4,Ral783,control,10,135.08,1.95,0.9274,25,0.968324263,35,,,,3
4,Ral783,H2O2,40,88.18,1.64,0.9274,25,0.968324263,35,,,,3
5,Ral031,control,10,138.52,0,1.108666667,15,1.108666667,15,,,,1
5,Ral031,H2O2,39,100.98,4.92,1.108666667,15,1.108666667,15,,,,1
5,Ral371,control,10,138.52,0,0.880666667,15,0.9025,30,,,,3
5,Ral371,H2O2,20,72.89,3.36,0.880666667,15,0.9025,30,,,,3
5,Ral397,control,10,138.52,0,0.954666667,15,0.954666667,15,,,,2
5,Ral397,H2O2,40,64.54,2.19,0.954666667,15,0.954666667,15,,,,2
5,Ral405,control,10,135.19,3.16,1.000666667,15,0.949083333,30,,,,2
5,Ral405,H2O2,40,56.33,1.39,1.000666667,15,0.949083333,30,,,,2
5,Ral441,control,10,138.52,0,1.176666667,15,1.067,40,,,,2
5,Ral441,H2O2,34,112.28,3.29,1.176666667,15,1.067,40,,,,2
5,Ral491,control,10,138.52,0,1.002666667,15,0.951346939,35,,,,2
5,Ral491,H2O2,40,98.6,2.82,1.002666667,15,0.951346939,35,,,,2
5,Ral492,control,10,127.6,10.36,0.816666667,15,0.816666667,15,,,,2
5,Ral492,H2O2,40,64.5,1.93,0.816666667,15,0.816666667,15,,,,2
5,Ral502,control,10,133.68,4.6,0.813333333,15,0.813333333,15,,,,2
5,Ral502,H2O2,40,68.35,2.45,0.813333333,15,0.813333333,15,,,,2
5,Ral535,control,10,138.52,0,1.124,15,1.124,15,,,,2
5,Ral535,H2O2,38,98.73,2.41,1.124,15,1.124,15,,,,2
5,Ral551,control,10,138.52,0,0.883333333,15,0.896666667,30,,,,2
5,Ral551,H2O2,40,67.3,1.98,0.883333333,15,0.896666667,30,,,,2
5,Ral559,control,10,138.52,0,1.006,15,0.995333333,45,,,,2
5,Ral559,H2O2,40,107.49,2.41,1.006,15,0.995333333,45,,,,2
5,Ral627,control,10,138.52,0,0.937333333,15,0.937333333,15,,,,2
5,Ral627,H2O2,40,62.32,1.88,0.937333333,15,0.937333333,15,,,,2
5,Ral634,control,10,138.52,0,1.054666667,15,1.054666667,15,,,,2
5,Ral634,H2O2,39,85.62,3.34,1.054666667,15,1.054666667,15,,,,2
5,Ral646,control,10,138.52,0,0.99,15,0.982333334,30,,,,2
5,Ral646,H2O2,39,103.58,3.06,0.982666667,15,0.982333334,30,,,,2
5,Ral703,control,10,129.68,8.39,0.99,15,0.962666667,15,,,,3
5,Ral703,H2O2,40,84.3,2.61,0.982666667,15,0.962666667,15,,,,3
5,Ral801,control,10,138.52,0,0.962666667,15,1.038,15,,,,3
5,Ral801,H2O2,40,66.42,1.62,0.962666667,15,1.038,15,,,,3
5,Ral802,control,10,138.52,0,1.038,15,1.1,15,,,,Ordered
5,Ral802,H2O2,30,90.62,4.87,1.038,15,1.1,15,,,,Ordered
5,Ral808,control,10,138.52,0,1.1,15,1.047333333,15,,,,3
5,Ral808,H2O2,40,77.37,2.04,1.1,15,1.047333333,15,,,,3
5,Ral818,control,10,138.52,0,1.047333333,15,1.106666667,15,,,,3
5,Ral818,H2O2,40,86.45,2.83,1.047333333,15,1.106666667,15,,,,3
5,Ral819,control,10,122.28,8.92,1.106666667,15,0.893333333,15,,,,3
5,Ral819,H2O2,40,55.32,1.87,1.106666667,15,0.893333333,15,,,,3
5,Ral821,control,10,138.52,0,0.893333333,15,0.942666667,15,,,,3
5,Ral821,H2O2,39,89.59,1.53,0.893333333,15,0.942666667,15,,,,3
5,Ral855,control,10,138.52,0,0.942666667,15,0.943333333,15,,,,3
5,Ral855,H2O2,39,94.15,3.3,0.942666667,15,0.943333333,15,,,,3
5,Ral879,control,10,138.52,0,0.943333333,15,0.951333333,15,,,,3
5,Ral879,H2O2,40,76.65,2.08,0.943333333,15,0.951333333,15,,,,3
5,Ral882,control,10,138.52,0,0.951333333,15,0.9366666,15,,,,1
5,Ral882,H2O2,39,93.76,2.92,0.951333333,15,0.9366666,15,,,,1
6,Ral021,control,10,145.83,0,0.905333333,15,0.957010811,37,,,,1
6,Ral021,H2O2,40,75.85,1.57,0.905333333,15,0.957010811,37,,,,1
6,Ral075,control,10,145.83,0,1.084,14,1.373310328,29,,,,1
6,Ral075,H2O2,40,88.59,2.28,1.084,14,1.373310328,29,,,,1
6,Ral091,control,10,145.83,0,0.939666667,14,0.958853175,24,,,,1
6,Ral091,H2O2,40,102.57,3.08,0.939666667,14,0.958853175,24,,,,1
6,Ral101,control,10,137.09,4.29,0.944555556,16,0.944555556,16,,,,1
6,Ral101,H2O2,40,69.83,2.38,0.944555556,16,0.944555556,16,,,,1
6,Ral136,control,10,145.83,0,0.928666667,15,1.035524242,55,,,,1
6,Ral136,H2O2,40,107.12,3.47,0.928666667,15,1.035524242,55,,,,1
6,Ral149,control,10,145.83,0,0.984,15,0.984,15,,,,1
6,Ral149,H2O2,39,56.98,1.77,0.984,15,0.984,15,,,,1
6,Ral181,control,10,145.83,0,0.760666667,15,0.803577381,40,,,,1
6,Ral181,H2O2,40,62.14,1.55,0.760666667,15,0.803577381,40,,,,1
6,Ral217,control,10,145.83,0,0.862666667,15,0.9476,25,,,,1
6,Ral217,H2O2,40,99.42,4.47,0.862666667,15,0.9476,25,,,,1
6,Ral287,control,10,133.81,11.41,0.988,15,0.968,30,,,,1
6,Ral287,H2O2,40,116.88,2.28,0.988,15,0.968,30,,,,1
6,Ral301,control,10,133.15,9.87,1.071333333,15,1.096413223,55,,,,1
6,Ral301,H2O2,40,71.61,1.97,1.071333333,15,1.096413223,55,,,,1
6,Ral310,control,10,114.48,9.96,0.906666667,15,0.9575,28,,,,1
6,Ral310,H2O2,20,60.02,2.68,0.906666667,15,0.9575,28,,,,1
6,Ral320,control,10,145.83,0,0.678,15,0.807333333,45,,,,1
6,Ral320,H2O2,35,123.18,3.27,0.678,15,0.807333333,45,,,,1
6,Ral321,control,10,133.81,11.41,1.012,15,0.9204,50,,,,1
6,Ral321,H2O2,41,67.53,3.04,1.012,15,0.9204,50,,,,1
6,Ral324,control,10,145.83,0,0.663333333,15,0.663333333,15,,,,3
6,Ral324,H2O2,39,55.84,1.12,0.663333333,15,0.663333333,15,,,,3
6,Ral517,control,10,145.83,0,1.014,15,1.001909091,55,,,,2
6,Ral517,H2O2,39,105.72,3.21,1.014,15,1.001909091,55,,,,2
6,Ral705,control,10,145.83,0,0.898,15,0.898,15,,,,2
6,Ral705,H2O2,20,115.19,3.96,0.898,15,0.898,15,,,,2
6,Ral712,control,10,145.83,0,0.934,15,0.934,15,,,,2
6,Ral712,H2O2,40,80.17,1.77,0.934,15,0.934,15,,,,2
6,Ral714,control,10,145.83,0,0.874,15,0.885,30,,,,3
6,Ral714,H2O2,37,116.37,3.67,0.874,15,0.885,30,,,,3
6,Ral730,control,10,145.83,0,1.122666667,15,1.015333333,45,,,,3
6,Ral730,H2O2,36,116.87,3.27,1.122666667,15,1.015333333,45,,,,3
6,Ral738,control,10,145.83,0,,,1.142666667,15,,,,3
6,Ral738,H2O2,20,102.12,5.15,,,1.142666667,15,,,,3
6,Ral799,control,10,145.83,0,1.01,15,1.01,15,,,,3
6,Ral799,H2O2,40,73.41,1.98,1.01,15,1.01,15,,,,3
8,Ral042,control,10,93.84,3.61,0.861333333,15,0.897666667,30,Pt2,,,1
8,Ral042,H2O2,34,42.13,0.9,0.861333333,15,0.897666667,30,Pt2,,,1
8,Ral531,control,10,117.99,3.93,1.0375,15,1.0375,15,Pt1,,,2
8,Ral531,H2O2,40,56.03,1.75,1.0375,15,1.0375,15,Pt1,,,2
8,Ral531,control,10,91.41,5.75,1.0375,15,1.0375,15,Pt2,,,2
8,Ral531,H2O2,40,56.41,3.11,1.0375,15,1.0375,15,Pt2,,,2
8,Ral535,control,10,121.14,2.89,1.128,15,1.124,15,Pt1,,,2
8,Ral535,H2O2,38,92.61,3.09,1.128,15,1.124,15,Pt1,,,2
8,Ral535,control,10,100.9,0,1.128,15,1.124,15,Pt2,,,2
8,Ral535,H2O2,29,92.91,1.56,1.128,15,1.124,15,Pt2,,,2
8,Ral551,control,10,100.9,0,0.91,15,0.896666667,30,Pt2,,,2
8,Ral551,H2O2,37,65.05,3.21,0.91,15,0.896666667,30,Pt2,,,2
8,Ral557,control,10,98.19,1.71,0.936666667,15,0.925333333,15,Pt2,,,2
8,Ral557,H2O2,40,60.89,2.33,0.936666667,15,0.925333333,15,Pt2,,,2
8,Ral559,control,10,118.22,5.18,1.032,15,0.995333333,45,Pt1,,,2
8,Ral559,H2O2,37,86.64,3.95,1.032,15,0.995333333,45,Pt1,,,2
8,Ral559,control,10,100.29,0.58,1.032,15,0.995333333,45,Pt2,,,2
8,Ral559,H2O2,20,84.06,3.52,1.032,15,0.995333333,45,Pt2,,,2
8,Ral563,control,10,100.9,0,0.842666667,15,0.936333334,30,Pt2,,,2
8,Ral563,H2O2,34,74.58,3.26,0.842666667,15,0.936333334,30,Pt2,,,2
8,Ral566,control,10,100.9,0,0.846666667,15,0.848,30,Pt2,,,2
8,Ral566,H2O2,40,68.02,3.03,0.846666667,15,0.848,30,Pt2,,,2
8,Ral584,control,10,122.47,1.62,0.953333333,15,0.95,30,Pt1,,,2
8,Ral584,H2O2,37,99.66,3.35,0.953333333,15,0.95,30,Pt1,,,2
8,Ral584,control,10,100.9,0,0.953333333,15,0.95,30,Pt2,,,2
8,Ral584,H2O2,32,86.61,2.78,0.953333333,15,0.95,30,Pt2,,,2
8,Ral589,control,10,101.45,7.98,0.994666667,15,0.936666667,30,Pt1,,,2
8,Ral589,H2O2,40,65.47,2.95,0.994666667,15,0.936666667,30,Pt1,,,2
8,Ral589,control,10,92.9,5.05,0.994666667,15,0.936666667,30,Pt2,,,2
8,Ral589,H2O2,39,76.83,2.24,0.994666667,15,0.936666667,30,Pt2,,,2
8,Ral595,control,10,123.24,0.59,1.091333333,15,1.14,30,Pt1,,,2
8,Ral595,H2O2,40,78.38,1.99,1.091333333,15,1.14,30,Pt1,,,2
8,Ral595,control,10,100.9,0,1.091333333,15,1.14,30,Pt2,,,2
8,Ral595,H2O2,36,91.12,1.07,1.091333333,15,1.14,30,Pt2,,,2
8,Ral596,control,10,99.68,0.77,1.025333333,15,0.979666667,30,Pt2,,,2
8,Ral596,H2O2,38,80.42,2.51,1.025333333,15,0.979666667,30,Pt2,,,2
9,Ral181,control,10,139.72,0,0.898809524,10,0.803577381,40,feb10erika,,,1
9,Ral181,H2O2,40,69.71,2.52,0.898809524,10,0.803577381,40,feb10erika,,,1
9,Ral195,control,10,130.98,2.76,1.075,10,0.848,25,feb10erika,,,1
9,Ral195,H2O2,37,106.95,2.42,1.075,10,0.848,25,feb10erika,,,1
9,Ral217,control,10,139.72,0,1.110555556,10,0.9476,25,feb10erika,,,1
9,Ral217,H2O2,39,95.36,3.96,1.110555556,10,0.9476,25,feb10erika,,,1
9,Ral280,control,10,139.72,0,1.247619048,10,0.972822222,25,feb10erika,,,1
9,Ral280,H2O2,39,71.96,2.27,1.247619048,10,0.972822222,25,feb10erika,,,1
9,Ral352,control,10,118.54,11.61,0.912857143,10,1.084068027,35,feb10erika,,,3
9,Ral352,H2O2,40,65.09,1.94,0.912857143,10,1.084068027,35,feb10erika,,,3
9,Ral491,control,10,139.72,0,1.097619048,10,0.951346939,35,feb11deborah,,,2
9,Ral491,H2O2,40,103.4,2.49,1.097619048,10,0.951346939,35,feb11deborah,,,2
