"strata","time","n.risk","n.event","surv","std.err","lower","upper"
"Trt=CSF",65.0833333333333,40,1,0.975,0.0246855220726644,0.927798108727978,1
"Trt=CSF",256.016666666667,39,1,0.95,0.0344601218802255,0.884804413157851,1
"Trt=CSFH",46.5833333333333,40,1,0.975,0.0246855220726644,0.927798108727978,1
"Trt=CSFH",55.75,39,1,0.95,0.0344601218802255,0.884804413157851,1
"Trt=CSFH",64.3166666666667,38,1,0.925,0.0416458281223942,0.84687340944188,1
"Trt=CSFH",67.4,37,1,0.9,0.0474341649025257,0.811671410405463,0.997940779502597
"Trt=CSFH",68.5666666666667,36,1,0.875,0.0522912516583797,0.778285664634367,0.983732625166217
"Trt=CSFH",71.1166666666667,35,1,0.85,0.0564579489531811,0.746244544029642,0.968181282905702
"Trt=CSFH",73.2,34,1,0.825,0.0600780742034896,0.715266406015525,0.95156852646205
"Trt=CSFH",75.05,33,1,0.8,0.0632455532033676,0.685167250375447,0.934078503678194
"Trt=CSFH",75.3166666666667,32,1,0.775,0.0660255632312213,0.65581931620794,0.915839142209042
"Trt=CSFH",76.65,31,1,0.75,0.0684653196881458,0.627129960173383,0.896943274476131
"Trt=CSFH",78.2333333333333,30,1,0.725,0.0706001062322147,0.599029847976793,0.877460450051502
"Trt=CSFH",80.1,29,1,0.7,0.0724568837309472,0.571465885506425,0.857444009218099
"Trt=CSFH",82.3,28,1,0.675,0.0740565662179931,0.544396758578093,0.836935548973592
"Trt=CSFH",82.35,27,1,0.65,0.0754155156449918,0.517790000647464,0.815967862399216
"Trt=CSFH",83.2666666666667,26,1,0.625,0.0765465544619743,0.491620002739209,0.794566937519864
"Trt=CSFH",84.8166666666667,25,1,0.6,0.0774596669241483,0.46586663064962,0.772753351099656
"Trt=CSFH",86.0833333333333,24,1,0.575,0.0781624910043174,0.440514249491332,0.750543257980367
"Trt=CSFH",86.3333333333333,23,1,0.55,0.0786606636127614,0.415551032185233,0.727949100280804
"Trt=CSFH",88.9666666666667,22,1,0.525,0.0789580584867688,0.390968473969123,0.704980115664692
"Trt=CSFH",89.9833333333333,21,1,0.5,0.0790569415042095,0.366761063271134,0.681642696120073
"Trt=CSFH",90.1166666666667,20,1,0.475,0.0789580584867688,0.3429260778114,0.657940630937048
"Trt=CSFH",90.6,19,1,0.45,0.0786606636127614,0.31946348774142,0.633875255766029
"Trt=CSFH",91.1333333333333,18,1,0.425,0.0781624910043174,0.29637595754985,0.609445521469532
"Trt=CSFH",91.95,17,1,0.4,0.0774596669241483,0.273668947074593,0.584647990611772
"Trt=CSFH",93.0333333333333,16,1,0.375,0.0765465544619743,0.251350920647023,0.559476765145739
"Trt=CSFH",93.2833333333333,15,1,0.35,0.0754155156449918,0.22943368356151,0.533923345946534
"Trt=CSFH",95.0166666666667,14,1,0.325,0.0740565662179931,0.207932878511254,0.507976423720231
"Trt=CSFH",95.55,13,1,0.3,0.0724568837309472,0.18686869407724,0.481621603042827
"Trt=CSFH",95.6833333333333,12,1,0.275,0.0706001062322147,0.166266867351004,0.454841070893272
"Trt=CSFH",95.8166666666667,11,1,0.25,0.0684653196881458,0.146160111472964,0.427613248034236
"Trt=CSFH",97.1333333333333,10,1,0.225,0.0660255632312213,0.126590181745598,0.399912531145098
"Trt=CSFH",102.766666666667,9,1,0.2,0.0632455532033676,0.107610942025418,0.371709412139073
"Trt=CSFH",102.883333333333,8,1,0.175,0.0600780742034896,0.0892930723021799,0.342971735773195
"Trt=CSFH",105.066666666667,7,1,0.15,0.0564579489531811,0.0717316196838148,0.31366920333289
"Trt=CSFH",105.816666666667,6,1,0.125,0.0522912516583797,0.0550588150077033,0.283787437085486
"Trt=CSFH",105.9,5,1,0.1,0.0474341649025257,0.0394675035168506,0.253373005863685
"Trt=CSFH",109.816666666667,4,1,0.075,0.0416458281223942,0.0252585270548182,0.222697071281795
"Trt=CSFH",115.083333333333,3,1,0.05,0.0344601218802255,0.0129514927227161,0.193027943073708
"Trt=CSFH",121.133333333333,2,1,0.025,0.0246855220726644,0.00360948988688636,0.173154661624261
"Trt=CSFH",128.116666666667,1,1,0,NA,NA,NA
"Trt=CSMH",28.1166666666667,40,1,0.975,0.0246855220726644,0.927798108727978,1
"Trt=CSMH",35.2833333333333,39,1,0.95,0.0344601218802255,0.884804413157851,1
"Trt=CSMH",37.8333333333333,38,1,0.925,0.0416458281223942,0.84687340944188,1
"Trt=CSMH",38.6666666666667,37,1,0.9,0.0474341649025257,0.811671410405463,0.997940779502597
"Trt=CSMH",40.8,36,1,0.875,0.0522912516583797,0.778285664634367,0.983732625166217
"Trt=CSMH",41.0666666666667,35,1,0.85,0.0564579489531811,0.746244544029642,0.968181282905702
"Trt=CSMH",41.7833333333333,34,1,0.825,0.0600780742034896,0.715266406015525,0.95156852646205
"Trt=CSMH",42.0333333333333,33,1,0.8,0.0632455532033676,0.685167250375447,0.934078503678194
"Trt=CSMH",42.05,32,1,0.775,0.0660255632312213,0.65581931620794,0.915839142209042
"Trt=CSMH",42.15,31,1,0.75,0.0684653196881458,0.627129960173383,0.896943274476131
"Trt=CSMH",42.25,30,1,0.725,0.0706001062322147,0.599029847976793,0.877460450051502
"Trt=CSMH",44.1833333333333,29,1,0.7,0.0724568837309472,0.571465885506425,0.857444009218099
"Trt=CSMH",44.5666666666667,28,2,0.65,0.0754155156449918,0.517790000647464,0.815967862399216
"Trt=CSMH",45.1833333333333,26,1,0.625,0.0765465544619743,0.491620002739209,0.794566937519864
"Trt=CSMH",45.6333333333333,25,1,0.6,0.0774596669241483,0.46586663064962,0.772753351099656
"Trt=CSMH",45.8333333333333,24,1,0.575,0.0781624910043174,0.440514249491332,0.750543257980367
"Trt=CSMH",45.85,23,1,0.55,0.0786606636127614,0.415551032185234,0.727949100280804
"Trt=CSMH",46.3166666666667,22,1,0.525,0.0789580584867688,0.390968473969123,0.704980115664692
"Trt=CSMH",46.75,21,1,0.5,0.0790569415042095,0.366761063271134,0.681642696120073
"Trt=CSMH",46.8833333333333,20,1,0.475,0.0789580584867688,0.3429260778114,0.657940630937048
"Trt=CSMH",47,19,2,0.425,0.0781624910043174,0.29637595754985,0.609445521469532
"Trt=CSMH",47.9,17,1,0.4,0.0774596669241484,0.273668947074593,0.584647990611772
"Trt=CSMH",48.3333333333333,16,1,0.375,0.0765465544619743,0.251350920647023,0.559476765145739
"Trt=CSMH",48.4,15,1,0.35,0.0754155156449918,0.22943368356151,0.533923345946534
"Trt=CSMH",48.9666666666667,14,1,0.325,0.0740565662179931,0.207932878511254,0.507976423720231
"Trt=CSMH",48.9833333333333,13,1,0.3,0.0724568837309472,0.18686869407724,0.481621603042828
"Trt=CSMH",49.2,12,1,0.275,0.0706001062322147,0.166266867351004,0.454841070893272
"Trt=CSMH",50.4333333333333,11,1,0.25,0.0684653196881458,0.146160111472964,0.427613248034236
"Trt=CSMH",51.0666666666667,10,1,0.225,0.0660255632312213,0.126590181745598,0.399912531145098
"Trt=CSMH",51.3166666666667,9,1,0.2,0.0632455532033676,0.107610942025418,0.371709412139073
"Trt=CSMH",53.6166666666667,8,1,0.175,0.0600780742034896,0.0892930723021799,0.342971735773195
"Trt=CSMH",54.3,7,1,0.15,0.0564579489531811,0.0717316196838148,0.31366920333289
"Trt=CSMH",54.4166666666667,6,1,0.125,0.0522912516583797,0.0550588150077033,0.283787437085486
"Trt=CSMH",57.9,5,1,0.1,0.0474341649025257,0.0394675035168506,0.253373005863685
"Trt=CSMH",61.5833333333333,4,1,0.075,0.0416458281223942,0.0252585270548182,0.222697071281795
"Trt=CSMH",63.5666666666667,3,1,0.05,0.0344601218802256,0.0129514927227161,0.193027943073708
"Trt=CSMH",70.25,2,1,0.025,0.0246855220726644,0.00360948988688636,0.173154661624261
"Trt=CSMH",72.4833333333333,1,1,0,NA,NA,NA
"Trt=SK1F",73.05,40,1,0.975,0.0246855220726644,0.927798108727978,1
"Trt=SK1F",163.383333333333,39,1,0.95,0.0344601218802255,0.884804413157851,1
"Trt=SK1F",205.2,38,1,0.925,0.0416458281223942,0.84687340944188,1
"Trt=SK1F",229.733333333333,37,1,0.9,0.0474341649025257,0.811671410405463,0.997940779502597
"Trt=SK1F",236.766666666667,36,1,0.875,0.0522912516583797,0.778285664634367,0.983732625166217
"Trt=SK1FH",35.2333333333333,38,1,0.973684210526316,0.0259672205806824,0.92409666242619,1
"Trt=SK1FH",46.2666666666667,37,1,0.947368421052632,0.0362235369269308,0.878966654930535,1
"Trt=SK1FH",46.45,36,1,0.921052631578947,0.0437440767239716,0.83918526285193,1
"Trt=SK1FH",48.2,35,1,0.894736842105263,0.0497844896277325,0.802293363231335,0.997832031660052
"Trt=SK1FH",49.1666666666667,34,1,0.868421052631579,0.0548361022017428,0.767328908381188,0.982831633757628
"Trt=SK1FH",50.1,33,1,0.842105263157895,0.0591527880998965,0.733794808896615,0.966402685928702
"Trt=SK1FH",52.3166666666667,32,1,0.815789473684211,0.0628860724916703,0.701394319881967,0.948842108510311
"Trt=SK1FH",52.4333333333333,31,1,0.789473684210526,0.0661348276250046,0.669933722540626,0.930343819232277
"Trt=SK1FH",54.55,30,1,0.763157894736842,0.0689675595818469,0.639278684618539,0.911042376841794
"Trt=SK1FH",56.0833333333333,29,1,0.736842105263158,0.0714337781619259,0.609331997507546,0.891035248943937
"Trt=SK1FH",56.1833333333333,28,1,0.710526315789474,0.0735703512865337,0.580021132364255,0.870395261930418
"Trt=SK1FH",59.9666666666667,27,1,0.68421052631579,0.0754053052011978,0.55129079529836,0.849178053241337
"Trt=SK1FH",60.45,26,1,0.657894736842105,0.0769602173507371,0.523098235737151,0.827426772247864
"Trt=SK1FH",61.1833333333333,25,1,0.631578947368421,0.0782517833342135,0.495410169280101,0.805175168968872
"Trt=SK1FH",61.7666666666667,24,1,0.605263157894737,0.0792928727782125,0.468200698181533,0.782449688194759
"Trt=SK1FH",61.95,23,1,0.578947368421053,0.0800932537108087,0.441449877238903,0.75927092221224
"Trt=SK1FH",62.1333333333333,22,1,0.552631578947369,0.0806600920199775,0.41514271553436,0.735654633026036
"Trt=SK1FH",63.1166666666667,21,1,0.526315789473684,0.0809982909540911,0.389268485627522,0.711612474363947
"Trt=SK1FH",63.7166666666667,20,1,0.5,0.0811107105653813,0.363820260368212,0.687152495979697
"Trt=SK1FH",65.6,19,1,0.473684210526316,0.0809982909540911,0.338794628212707,0.66227948325399
"Trt=SK1FH",67.5166666666667,18,1,0.447368421052632,0.0806600920199775,0.314191558743771,0.636995166118836
"Trt=SK1FH",68.75,17,1,0.421052631578947,0.0800932537108087,0.290014405645295,0.611298318664857
"Trt=SK1FH",68.8,16,1,0.394736842105263,0.0792928727782124,0.266270047688616,0.585184762115837
"Trt=SK1FH",69.4166666666667,15,1,0.368421052631579,0.0782517833342135,0.242969181728168,0.558647278048699
"Trt=SK1FH",70.55,14,1,0.342105263157895,0.0769602173507371,0.22012679770419,0.531675435707775
"Trt=SK1FH",72.2,13,1,0.315789473684211,0.0754053052011978,0.197762887393947,0.504255338318866
"Trt=SK1FH",74.5833333333333,12,1,0.289473684210526,0.0735703512865337,0.175903471133827,0.476369302494688
"Trt=SK1FH",74.7666666666667,11,1,0.263157894736842,0.0714337781619259,0.154582078675734,0.447995512517313
"Trt=SK1FH",82.35,10,1,0.236842105263158,0.0689675595818469,0.133841908121453,0.419107763874547
"Trt=SK1FH",85.1666666666667,9,1,0.210526315789474,0.0661348276250046,0.113739043198151,0.389675597698449
"Trt=SK1FH",85.6833333333333,8,1,0.184210526315789,0.0628860724916703,0.0943474035424258,0.359665626519134
"Trt=SK1FH",86.6333333333333,7,1,0.157894736842105,0.0591527880998965,0.0757666941427626,0.329046267684085
"Trt=SK1FH",89.15,6,1,0.131578947368421,0.0548361022017428,0.0581359052139173,0.29780252542515
"Trt=SK1FH",91.55,5,1,0.105263157894737,0.0497844896277325,0.0416579954224254,0.265983331593712
"Trt=SK1FH",91.9333333333333,4,1,0.0789473684210526,0.0437440767239716,0.0266498028363031,0.233873661988939
"Trt=SK1FH",95.7666666666667,3,1,0.0526315789473684,0.0362235369269308,0.0136586985106184,0.202807251389259
"Trt=SK1FH",96.8333333333333,2,1,0.0263157894736842,0.0259672205806824,0.00380442958766947,0.182030120328103
"Trt=SK1FH",99.05,1,1,0,NA,NA,NA
"Trt=SK1M",180.35,39,1,0.974358974358974,0.0253101598355295,0.925993618769312,1
"Trt=SK1M",208.883333333333,38,1,0.948717948717949,0.0353198580369843,0.88195758809877,1
"Trt=SK1M",220.233333333333,37,1,0.923076923076923,0.0426692458634792,0.843123294454014,1
"Trt=SK1M",241.433333333333,36,1,0.897435897435897,0.0485810735092996,0.807095967011462,0.99788776418844
"Trt=SK1M",252.333333333333,35,1,0.871794871794872,0.053533735662912,0.772938847695595,0.983294216293753
"Trt=SK1MH",27.8833333333333,37,1,0.972972972972973,0.0266592952387066,0.922099949173881,1
"Trt=SK1MH",30.9333333333333,36,1,0.945945945945946,0.0371746111029933,0.875820401667282,1
"Trt=SK1MH",31.6,35,1,0.918918918918919,0.0448742806527616,0.835044860666001,1
"Trt=SK1MH",33.9166666666667,34,1,0.891891891891892,0.0510486638704343,0.797246314425812,0.997773376218625
"Trt=SK1MH",35.25,33,1,0.864864864864865,0.0562027291794634,0.761436038394186,0.982342832176924
"Trt=SK1MH",39.8,32,2,0.810810810810811,0.0643883151819986,0.69394283548935,0.947360700776014
"Trt=SK1MH",39.9666666666667,30,1,0.783783783783784,0.0676770479000758,0.661756069236579,0.928313389601579
"Trt=SK1MH",40.45,29,1,0.756756756756757,0.070533865329866,0.630405032883284,0.908433085119474
"Trt=SK1MH",41.7833333333333,28,1,0.72972972972973,0.0730094868471483,0.599790100871015,0.887819718395019
"Trt=SK1MH",42.8166666666667,27,1,0.702702702702703,0.0751415986415377,0.569837080673963,0.86654783469279
"Trt=SK1MH",43.5333333333333,26,1,0.675675675675676,0.0769587564123648,0.540489566099144,0.844674249670967
"Trt=SK1MH",44.7,25,1,0.648648648648649,0.0784828401376964,0.511704122575552,0.822242875972913
"Trt=SK1MH",44.95,24,1,0.621621621621622,0.0797306582754116,0.483447134442149,0.799287890936365
"Trt=SK1MH",45.6833333333333,23,1,0.594594594594595,0.0807150246694596,0.455692680707597,0.775835879944641
"Trt=SK1MH",47.4666666666667,22,1,0.567567567567568,0.0814454922703658,0.428421077957222,0.751907318123901
"Trt=SK1MH",49.2833333333333,21,1,0.540540540540541,0.0819288525511173,0.401617876002927,0.727517606725579
"Trt=SK1MH",49.9,20,2,0.486486486486487,0.0821694664393835,0.349381188580622,0.677395089573787
"Trt=SK1MH",50.0333333333333,18,1,0.459459459459459,0.0819288525511173,0.323939991177385,0.651673151312712
"Trt=SK1MH",50.05,17,1,0.432432432432432,0.0814454922703658,0.298951447753886,0.625512303166291
"Trt=SK1MH",50.1,16,1,0.405405405405405,0.0807150246694596,0.274421295059833,0.598909580599737
"Trt=SK1MH",50.75,15,1,0.378378378378378,0.0797306582754116,0.250359397406822,0.571858690774872
"Trt=SK1MH",51.4666666666667,14,1,0.351351351351351,0.0784828401376964,0.226780199349751,0.544349870272553
"Trt=SK1MH",53.3833333333333,13,1,0.324324324324324,0.0769587564123648,0.203703426479733,0.516369651537966
"Trt=SK1MH",53.7166666666667,12,1,0.297297297297297,0.0751415986415377,0.181155119006632,0.487900554314682
"Trt=SK1MH",55.9666666666667,11,1,0.27027027027027,0.0730094868471483,0.159169136714336,0.458920746193794
"Trt=SK1MH",57.0666666666667,10,1,0.243243243243243,0.070533865329866,0.137789364448892,0.429403790489488
"Trt=SK1MH",59.4333333333333,9,1,0.216216216216216,0.0676770479000758,0.117073008196728,0.399318791538185
"Trt=SK1MH",60,8,1,0.189189189189189,0.0643883151819986,0.0970956745096851,0.368631759208724
"Trt=SK1MH",62.3333333333333,7,1,0.162162162162162,0.0605973853965117,0.0779595338913487,0.337310467681305
"Trt=SK1MH",62.4166666666667,6,1,0.135135135135135,0.0562027291794634,0.0598071891475782,0.30533962569165
"Trt=SK1MH",65.75,5,1,0.108108108108108,0.0510486638704343,0.0428470354373904,0.27276946746508
"Trt=SK1MH",65.8,4,1,0.0810810810810811,0.0448742806527616,0.0274045386388476,0.239892442486064
"Trt=SK1MH",66.4,3,1,0.0540540540540541,0.0371746111029934,0.014042071314325,0.208077618627238
"Trt=SK1MH",76.6166666666667,2,1,0.027027027027027,0.0266592952387066,0.00391001339982949,0.186817822657975
"Trt=SK1MH",76.7,1,1,0,NA,NA,NA
